Date,Name,Year,Letterboxd URI
2025-01-21,God Told Me To,1976,https://boxd.it/1iN2
2025-01-21,Eraserhead,1977,https://boxd.it/299u
2025-01-24,The Enforcer,1995,https://boxd.it/1GpS
2025-01-24,Police Story,1985,https://boxd.it/1Zhe
2025-01-24,The Damned,2024,https://boxd.it/w5HM
2025-01-27,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2025-02-01,Ash,2025,https://boxd.it/z5n4
2025-02-02,The Shrouds,2024,https://boxd.it/AEZa
2025-02-02,Crimes of the Future,2022,https://boxd.it/uTuY
2025-02-02,Crash,1996,https://boxd.it/29n2
2025-02-02,Naked Lunch,1991,https://boxd.it/26ow
2025-02-02,eXistenZ,1999,https://boxd.it/27Ni
2025-02-02,The Dead Zone,1983,https://boxd.it/1U6g
2025-02-03,Center Jenny,2013,https://boxd.it/6Tu2
2025-02-03,I-Be Area,2007,https://boxd.it/6VHs
2025-02-07,Le Trou,1960,https://boxd.it/1nSw
2025-02-09,Matt and Mara,2024,https://boxd.it/xuhQ
2025-02-09,Nirvanna the Band the Show the Movie,2025,https://boxd.it/HG9a
2025-02-12,House of 1000 Corpses,2003,https://boxd.it/26uE
2025-02-14,Broken Rage,2024,https://boxd.it/GrG2
2025-02-14,Getting Any?,1994,https://boxd.it/13h6
2025-02-14,Endurance,2024,https://boxd.it/zLgu
2025-03-01,Jason X,2001,https://boxd.it/1TM6
2025-04-09,Hardcore,1979,https://boxd.it/XyA
2025-04-09,Cloud,2024,https://boxd.it/LhR0
2025-04-23,Tornado,2025,https://boxd.it/GC3g
2025-04-24,Entertainment,2015,https://boxd.it/7dZE
2025-04-28,Pusher,1996,https://boxd.it/27wG
2025-05-01,The Heroic Trio,1993,https://boxd.it/TYu
2025-05-01,Green Snake,1993,https://boxd.it/12Vk
2025-05-05,Blazing Saddles,1974,https://boxd.it/1UHQ
2025-05-11,Altered States,1980,https://boxd.it/1TBi
2025-05-11,Aria,1987,https://boxd.it/1v1K
2025-05-20,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2025-05-21,Silent Running,1972,https://boxd.it/29yO
2025-05-24,Dark City,1998,https://boxd.it/26uk
2025-05-29,The Manchurian Candidate,2004,https://boxd.it/1O2M
2025-06-01,The Stuff,1985,https://boxd.it/1GQa
2025-06-01,Hard Boiled,1992,https://boxd.it/1T6a
2025-06-01,Castle Freak,1995,https://boxd.it/1Hhg
2025-06-01,From Beyond,1986,https://boxd.it/1NXi
2025-06-01,Re-Animator,1985,https://boxd.it/28hM
2025-06-02,Class of 1999,1990,https://boxd.it/1z5w
2025-06-02,The Fog,1980,https://boxd.it/29Cc
2025-06-02,Escape from New York,1981,https://boxd.it/294k
2025-06-02,Halloween,1978,https://boxd.it/2wRu
2025-06-02,Big Trouble in Little China,1986,https://boxd.it/21em
2025-06-13,Satyricon,1969,https://boxd.it/1UtY
2025-06-15,Shifty,2025,https://boxd.it/VJcE
2025-06-25,Skinamarink,2022,https://boxd.it/ByDO
2025-06-25,Morvern Callar,2002,https://boxd.it/1GDU
2025-06-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2025-06-25,Dreams,1990,https://boxd.it/1ROu
2025-06-25,High and Low,1963,https://boxd.it/1RSc
2025-06-25,Brotherhood of the Wolf,2001,https://boxd.it/21OY
2025-06-25,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q
2025-06-26,The Bounty,1984,https://boxd.it/26tQ
2025-06-26,28 Days Later,2002,https://boxd.it/2aXU
2025-06-26,28 Years Later,2025,https://boxd.it/FEGM
2025-06-27,Pandorum,2009,https://boxd.it/1Eo4
2025-06-28,Duel,1971,https://boxd.it/29ui
2025-06-28,River's Edge,1986,https://boxd.it/1C7q
2025-06-28,Cabaret,1972,https://boxd.it/1Vpe
2025-07-11,The Ninth Configuration,1980,https://boxd.it/1G4q
